страница;url;тип страницы;роль;ключевое слово;частота;источник_частоты;направление;намерение;статус;приоритет
Локальное развёртывание и контроль;https://ideav.ru/knowledge-base/15-local-control-files.html;статья КБ;дополнительная;что такое локальные информационные системы;42;ядро (не проверено);Информационные системы и цифровая трансформация;не размечено;не внедрено;3
Локальное развёртывание и контроль;https://ideav.ru/knowledge-base/15-local-control-files.html;статья КБ;дополнительная;информационная система и резервное копирование;126;ядро (не проверено);Информационные системы и цифровая трансформация;не размечено;не внедрено;3
Локальное развёртывание и контроль;https://ideav.ru/knowledge-base/15-local-control-files.html;статья КБ;дополнительная;информационная система и облачные технологии;80;ядро (не проверено);Информационные системы и цифровая трансформация;не размечено;частично;3
Локальное развёртывание и контроль;https://ideav.ru/knowledge-base/15-local-control-files.html;статья КБ;дополнительная;информационная система и доступность;549;ядро (не проверено);Информационные системы и цифровая трансформация;не размечено;было изначально;2
Локальное развёртывание и контроль;https://ideav.ru/knowledge-base/15-local-control-files.html;статья КБ;дополнительная;хранение больших объемов данных облачно;38;ядро (не проверено);Внутренние учетные системы для бизнеса;не размечено;не внедрено;3
Локальное развёртывание и контроль;https://ideav.ru/knowledge-base/15-local-control-files.html;статья КБ;дополнительная;информационная система и on-premise;2;ядро (расходится с замером);Информационные системы и цифровая трансформация;не размечено;было изначально;3
Локальное развёртывание и контроль;https://ideav.ru/knowledge-base/15-local-control-files.html;статья КБ;дополнительная;on premise;2827;замер 18.08;Информационные системы и цифровая трансформация;не размечено;частично;2
Локальное развёртывание и контроль;https://ideav.ru/knowledge-base/15-local-control-files.html;статья КБ;дополнительная;локальная информационная система это;103;замер 18.08;;не размечено;не внедрено;3
Локальное развёртывание и контроль;https://ideav.ru/knowledge-base/15-local-control-files.html;статья КБ;дополнительная;сервер on premise;52;замер 18.08;;не размечено;не внедрено;3
Локальное развёртывание и контроль;https://ideav.ru/knowledge-base/15-local-control-files.html;статья КБ;дополнительная;on premise версия;53;замер 18.08;;не размечено;не внедрено;3
Локальное развёртывание и контроль;https://ideav.ru/knowledge-base/15-local-control-files.html;статья КБ;дополнительная;saas или on premise;45;замер 18.08;;не размечено;не внедрено;3
Локальное развёртывание и контроль;https://ideav.ru/knowledge-base/15-local-control-files.html;статья КБ;дополнительная;on premise развертывание;40;замер 18.08;;не размечено;не внедрено;3
Локальное развёртывание и контроль;https://ideav.ru/knowledge-base/15-local-control-files.html;статья КБ;дополнительная;что такое on premise решение;23;замер 18.08;;не размечено;не внедрено;3
Тарифы в токенах вместо оплаты за пользователя;https://ideav.ru/knowledge-base/16-pricing-policy.html;статья КБ;основная;информационная система и стоимость владения;23;ядро (не проверено);Информационные системы и цифровая трансформация;учебное;не внедрено;1
Тарифы в токенах вместо оплаты за пользователя;https://ideav.ru/knowledge-base/16-pricing-policy.html;статья КБ;дополнительная;совокупная стоимость владения;313;замер 18.08;Информационные системы и цифровая трансформация;учебное;не внедрено;2
Тарифы в токенах вместо оплаты за пользователя;https://ideav.ru/knowledge-base/16-pricing-policy.html;статья КБ;дополнительная;стоимость владения;4781;замер 18.08;Информационные системы и цифровая трансформация;общий;не внедрено;2
Тарифы в токенах вместо оплаты за пользователя;https://ideav.ru/knowledge-base/16-pricing-policy.html;статья КБ;дополнительная;стоимость информационных систем;1504;замер 18.08;Информационные системы и цифровая трансформация;покупка;не внедрено;2
Тарифы в токенах вместо оплаты за пользователя;https://ideav.ru/knowledge-base/16-pricing-policy.html;статья КБ;дополнительная;стоимость владения расчет;186;замер 18.08;Информационные системы и цифровая трансформация;не размечено;не внедрено;3
Тарифы в токенах вместо оплаты за пользователя;https://ideav.ru/knowledge-base/16-pricing-policy.html;статья КБ;дополнительная;полная стоимость владения;162;замер 18.08;Информационные системы и цифровая трансформация;не размечено;не внедрено;3
Тарифы в токенах вместо оплаты за пользователя;https://ideav.ru/knowledge-base/16-pricing-policy.html;статья КБ;дополнительная;облачные crm системы;165;ядро (не проверено);BPM и автоматизация бизнес-процессов;не размечено;частично;3
Тарифы в токенах вместо оплаты за пользователя;https://ideav.ru/knowledge-base/16-pricing-policy.html;статья КБ;дополнительная;стоимость tco;159;замер 18.08;Информационные системы и цифровая трансформация;не размечено;не внедрено;3
Тарифы в токенах вместо оплаты за пользователя;https://ideav.ru/knowledge-base/16-pricing-policy.html;статья КБ;дополнительная;tco стоимость владения;139;замер 18.08;Информационные системы и цифровая трансформация;не размечено;не внедрено;3
Тарифы в токенах вместо оплаты за пользователя;https://ideav.ru/knowledge-base/16-pricing-policy.html;статья КБ;дополнительная;лицензия или подписка;124;замер 18.08;BPM и автоматизация бизнес-процессов;выбор;не внедрено;3
Тарифы в токенах вместо оплаты за пользователя;https://ideav.ru/knowledge-base/16-pricing-policy.html;статья КБ;дополнительная;стоимость владения системой;106;замер 18.08;Информационные системы и цифровая трансформация;не размечено;не внедрено;3
Тарифы в токенах вместо оплаты за пользователя;https://ideav.ru/knowledge-base/16-pricing-policy.html;статья КБ;дополнительная;рассчитать стоимость владения;98;замер 18.08;Информационные системы и цифровая трансформация;не размечено;не внедрено;3
Тарифы в токенах вместо оплаты за пользователя;https://ideav.ru/knowledge-base/16-pricing-policy.html;статья КБ;дополнительная;автоматизация лицензирования;89;ядро (не проверено);BPM и автоматизация бизнес-процессов;не размечено;частично;3
Тарифы в токенах вместо оплаты за пользователя;https://ideav.ru/knowledge-base/16-pricing-policy.html;статья КБ;дополнительная;сравнение стоимости владения;80;замер 18.08;Информационные системы и цифровая трансформация;не размечено;не внедрено;3
Тарифы в токенах вместо оплаты за пользователя;https://ideav.ru/knowledge-base/16-pricing-policy.html;статья КБ;дополнительная;сколько стоит crm система;64;ядро (расходится с замером);BPM и автоматизация бизнес-процессов;не размечено;не внедрено;3
Тарифы в токенах вместо оплаты за пользователя;https://ideav.ru/knowledge-base/16-pricing-policy.html;статья КБ;дополнительная;расчет tco;51;замер 18.08;Информационные системы и цифровая трансформация;не размечено;не внедрено;3
Тарифы в токенах вместо оплаты за пользователя;https://ideav.ru/knowledge-base/16-pricing-policy.html;статья КБ;дополнительная;стоимость владения информационной системой;37;замер 18.08;Информационные системы и цифровая трансформация;не размечено;не внедрено;3
Тарифы в токенах вместо оплаты за пользователя;https://ideav.ru/knowledge-base/16-pricing-policy.html;статья КБ;дополнительная;совокупная стоимость владения информационной системой;30;замер 18.08;Информационные системы и цифровая трансформация;не размечено;не внедрено;3
Тарифы в токенах вместо оплаты за пользователя;https://ideav.ru/knowledge-base/16-pricing-policy.html;статья КБ;дополнительная;автоматизация бизнес процессов стоимость;9;ядро (расходится с замером);BPM и автоматизация бизнес-процессов;не размечено;не внедрено;3
Тарифы в токенах вместо оплаты за пользователя;https://ideav.ru/knowledge-base/16-pricing-policy.html;статья КБ;дополнительная;цена увеличения объема таблицы;11;ядро (не проверено);Преодоление технических лимитов и масштабирование;не размечено;не внедрено;3
Тарифы в токенах вместо оплаты за пользователя;https://ideav.ru/knowledge-base/16-pricing-policy.html;статья КБ;дополнительная;стоимость crm системы для малого бизнеса;5;ядро (не проверено);BPM и автоматизация бизнес-процессов;не размечено;не внедрено;3
On-premise в реестре Минцифры;https://ideav.ru/knowledge-base/18-on-premise-procurement.html;статья КБ;основная;информационная система и российское по;1311;ядро (не проверено);Информационные системы и цифровая трансформация;учебное;не внедрено;1
On-premise в реестре Минцифры;https://ideav.ru/knowledge-base/18-on-premise-procurement.html;статья КБ;дополнительная;информационная система и государственные требования;1369;ядро (не проверено);Информационные системы и цифровая трансформация;не размечено;не внедрено;2
On-premise в реестре Минцифры;https://ideav.ru/knowledge-base/18-on-premise-procurement.html;статья КБ;дополнительная;информационная система и стандарты;1597;ядро (не проверено);Информационные системы и цифровая трансформация;не размечено;не внедрено;2
On-premise в реестре Минцифры;https://ideav.ru/knowledge-base/18-on-premise-procurement.html;статья КБ;дополнительная;идентификации и аутентификации пользователя информационной системы;198;ядро (не проверено);Информационные системы и цифровая трансформация;не размечено;не внедрено;3
On-premise в реестре Минцифры;https://ideav.ru/knowledge-base/18-on-premise-procurement.html;статья КБ;дополнительная;информационная система и импортозамещение;58;ядро (не проверено);Информационные системы и цифровая трансформация;не размечено;частично;3
On-premise в реестре Минцифры;https://ideav.ru/knowledge-base/18-on-premise-procurement.html;статья КБ;дополнительная;автоматизация закупок 223 фз;50;ядро (не проверено);BPM и автоматизация бизнес-процессов;не размечено;не внедрено;3
On-premise в реестре Минцифры;https://ideav.ru/knowledge-base/18-on-premise-procurement.html;статья КБ;дополнительная;автоматизация закупок по 223 фз;18;ядро (не проверено);BPM и автоматизация бизнес-процессов;не размечено;не внедрено;3
On-premise в реестре Минцифры;https://ideav.ru/knowledge-base/18-on-premise-procurement.html;статья КБ;дополнительная;автоматизация закупок по 44 фз;7;ядро (не проверено);BPM и автоматизация бизнес-процессов;не размечено;не внедрено;3
On-premise в реестре Минцифры;https://ideav.ru/knowledge-base/18-on-premise-procurement.html;статья КБ;дополнительная;информационная система и соответствие требованиям минцифры;5;ядро (не проверено);Информационные системы и цифровая трансформация;не размечено;не внедрено;3
On-premise в реестре Минцифры;https://ideav.ru/knowledge-base/18-on-premise-procurement.html;статья КБ;дополнительная;реестр отечественного по;9461;замер 18.08;Информационные системы и цифровая трансформация;навигация;не внедрено;2
On-premise в реестре Минцифры;https://ideav.ru/knowledge-base/18-on-premise-procurement.html;статья КБ;дополнительная;on premise;2827;замер 18.08;Информационные системы и цифровая трансформация;учебное;частично;2
On-premise в реестре Минцифры;https://ideav.ru/knowledge-base/18-on-premise-procurement.html;статья КБ;дополнительная;номер в реестре отечественного по;180;замер 18.08;Информационные системы и цифровая трансформация;не размечено;не внедрено;3
On-premise в реестре Минцифры;https://ideav.ru/knowledge-base/18-on-premise-procurement.html;статья КБ;дополнительная;отечественное по включенное в реестр;193;замер 18.08;Информационные системы и цифровая трансформация;не размечено;не внедрено;3
On-premise в реестре Минцифры;https://ideav.ru/knowledge-base/18-on-premise-procurement.html;статья КБ;дополнительная;реестр отечественного по запись;132;замер 18.08;Информационные системы и цифровая трансформация;не размечено;не внедрено;3
On-premise в реестре Минцифры;https://ideav.ru/knowledge-base/18-on-premise-procurement.html;статья КБ;дополнительная;saas или on premise;45;замер 18.08;Информационные системы и цифровая трансформация;не размечено;не внедрено;3
On-premise в реестре Минцифры;https://ideav.ru/knowledge-base/18-on-premise-procurement.html;статья КБ;дополнительная;on premise развертывание;40;замер 18.08;Информационные системы и цифровая трансформация;не размечено;частично;3
On-premise в реестре Минцифры;https://ideav.ru/knowledge-base/18-on-premise-procurement.html;статья КБ;дополнительная;выписка из реестра отечественного по;57;замер 18.08;Информационные системы и цифровая трансформация;не размечено;не внедрено;3
On-premise в реестре Минцифры;https://ideav.ru/knowledge-base/18-on-premise-procurement.html;статья КБ;дополнительная;льготы по реестру отечественного по;36;замер 18.08;Информационные системы и цифровая трансформация;не размечено;не внедрено;3
On-premise в реестре Минцифры;https://ideav.ru/knowledge-base/18-on-premise-procurement.html;статья КБ;дополнительная;реестр отечественного по ндс;62;замер 18.08;Информационные системы и цифровая трансформация;не размечено;не внедрено;3
On-premise в реестре Минцифры;https://ideav.ru/knowledge-base/18-on-premise-procurement.html;статья КБ;дополнительная;что такое on premise решение;23;замер 18.08;Информационные системы и цифровая трансформация;не размечено;не внедрено;3
On-premise в реестре Минцифры;https://ideav.ru/knowledge-base/18-on-premise-procurement.html;статья КБ;дополнительная;тип инсталляции saas или on premise;20;замер 18.08;Информационные системы и цифровая трансформация;не размечено;не внедрено;3
On-premise в реестре Минцифры;https://ideav.ru/knowledge-base/18-on-premise-procurement.html;статья КБ;дополнительная;реестр отечественного по проверить;28;замер 18.08;Информационные системы и цифровая трансформация;не размечено;не внедрено;3
On-premise в реестре Минцифры;https://ideav.ru/knowledge-base/18-on-premise-procurement.html;статья КБ;дополнительная;импортозамещение по 223 фз;8;замер 18.08;BPM и автоматизация бизнес-процессов;не размечено;не внедрено;3
Приложение собирает ИИ-агент;https://ideav.ru/knowledge-base/19-ai-agent-app-build.html;статья КБ;основная;информационные системы и технологии искусственного интеллекта;1371;ядро (не проверено);Информационные системы и цифровая трансформация;учебное;не внедрено;1
Приложение собирает ИИ-агент;https://ideav.ru/knowledge-base/19-ai-agent-app-build.html;статья КБ;дополнительная;информационная система и подходы;1085;ядро (не проверено);Информационные системы и цифровая трансформация;не размечено;не внедрено;2
Приложение собирает ИИ-агент;https://ideav.ru/knowledge-base/19-ai-agent-app-build.html;статья КБ;дополнительная;разработка и создание информационной системы;518;ядро (не проверено);Информационные системы и цифровая трансформация;не размечено;не внедрено;2
Приложение собирает ИИ-агент;https://ideav.ru/knowledge-base/19-ai-agent-app-build.html;статья КБ;дополнительная;информационная система и техническая документация;388;ядро (не проверено);Информационные системы и цифровая трансформация;не размечено;не внедрено;2
Приложение собирает ИИ-агент;https://ideav.ru/knowledge-base/19-ai-agent-app-build.html;статья КБ;дополнительная;ии автоматизация бизнес процессов;155;ядро (расходится с замером);BPM и автоматизация бизнес-процессов;не размечено;не внедрено;3
Приложение собирает ИИ-агент;https://ideav.ru/knowledge-base/19-ai-agent-app-build.html;статья КБ;дополнительная;искусственный интеллект и автоматизация бизнес процессов;76;ядро (расходится с замером);BPM и автоматизация бизнес-процессов;не размечено;не внедрено;3
Приложение собирает ИИ-агент;https://ideav.ru/knowledge-base/19-ai-agent-app-build.html;статья КБ;дополнительная;ии агент приложение;868;замер 18.08;;не размечено;частично;2
Приложение собирает ИИ-агент;https://ideav.ru/knowledge-base/19-ai-agent-app-build.html;статья КБ;дополнительная;ии агенты для бизнеса;1170;замер 18.08;;не размечено;не внедрено;2
Приложение собирает ИИ-агент;https://ideav.ru/knowledge-base/19-ai-agent-app-build.html;статья КБ;дополнительная;создать приложение с помощью ии;851;замер 18.08;;учебное;не внедрено;2
Приложение собирает ИИ-агент;https://ideav.ru/knowledge-base/19-ai-agent-app-build.html;статья КБ;дополнительная;приложение с помощью нейросети;789;замер 18.08;;учебное;не внедрено;2
Приложение собирает ИИ-агент;https://ideav.ru/knowledge-base/19-ai-agent-app-build.html;статья КБ;дополнительная;внедрение ии агентов;729;замер 18.08;;не размечено;не внедрено;2
Память по смыслу без векторной БД;https://ideav.ru/knowledge-base/20-semantic-memory-without-vector-db.html;статья КБ;основная;семантический поиск;1641;замер 18.08;Семантический поиск и векторные базы;учебное;не внедрено;1
Память по смыслу без векторной БД;https://ideav.ru/knowledge-base/20-semantic-memory-without-vector-db.html;статья КБ;дополнительная;векторные базы данных;629;замер 18.08;Семантический поиск и векторные базы;выбор;частично;2
Память по смыслу без векторной БД;https://ideav.ru/knowledge-base/20-semantic-memory-without-vector-db.html;статья КБ;дополнительная;поиск по смыслу;430;замер 18.08;Семантический поиск и векторные базы;не размечено;было изначально;2
Память по смыслу без векторной БД;https://ideav.ru/knowledge-base/20-semantic-memory-without-vector-db.html;статья КБ;дополнительная;векторный поиск;377;замер 18.08;Семантический поиск и векторные базы;общий;не внедрено;2
Память по смыслу без векторной БД;https://ideav.ru/knowledge-base/20-semantic-memory-without-vector-db.html;статья КБ;дополнительная;графовые базы данных;303;замер 18.08;Семантический поиск и векторные базы;общий;частично;2
Память по смыслу без векторной БД;https://ideav.ru/knowledge-base/20-semantic-memory-without-vector-db.html;статья КБ;дополнительная;база знаний для ии;262;замер 18.08;Семантический поиск и векторные базы;не размечено;не внедрено;3
Память по смыслу без векторной БД;https://ideav.ru/knowledge-base/20-semantic-memory-without-vector-db.html;статья КБ;дополнительная;поиск по базе знаний;131;замер 18.08;Семантический поиск и векторные базы;не размечено;не внедрено;3
Память по смыслу без векторной БД;https://ideav.ru/knowledge-base/20-semantic-memory-without-vector-db.html;статья КБ;дополнительная;семантический поиск по документам;21;замер 18.08;Семантический поиск и векторные базы;не размечено;не внедрено;3
Память по смыслу без векторной БД;https://ideav.ru/knowledge-base/20-semantic-memory-without-vector-db.html;статья КБ;дополнительная;with recursive;208;замер 18.08;Семантический поиск и векторные базы;не размечено;было изначально;3
Память по смыслу без векторной БД;https://ideav.ru/knowledge-base/20-semantic-memory-without-vector-db.html;статья КБ;дополнительная;sql рекурсивный запрос;66;замер 18.08;Семантический поиск и векторные базы;не размечено;было изначально;3
Сопоставление каталогов без Elasticsearch;https://ideav.ru/knowledge-base/21-catalog-matching.html;статья КБ;основная;сопоставление номенклатуры;2738;замер 18.08;Внутренние учетные системы для бизнеса;учебное;не внедрено;1
Сопоставление каталогов без Elasticsearch;https://ideav.ru/knowledge-base/21-catalog-matching.html;статья КБ;дополнительная;сопоставление номенклатуры поставщиков;127;замер 18.08;Внутренние учетные системы для бизнеса;не размечено;не внедрено;3
Сопоставление каталогов без Elasticsearch;https://ideav.ru/knowledge-base/21-catalog-matching.html;статья КБ;дополнительная;сопоставление номенклатуры товаров;120;замер 18.08;Внутренние учетные системы для бизнеса;не размечено;не внедрено;3
Сопоставление каталогов без Elasticsearch;https://ideav.ru/knowledge-base/21-catalog-matching.html;статья КБ;дополнительная;сопоставление номенклатуры контрагентов;79;замер 18.08;Внутренние учетные системы для бизнеса;не размечено;не внедрено;3
Сопоставление каталогов без Elasticsearch;https://ideav.ru/knowledge-base/21-catalog-matching.html;статья КБ;дополнительная;нормализация справочников;103;замер 18.08;Внутренние учетные системы для бизнеса;не размечено;не внедрено;3
Сопоставление каталогов без Elasticsearch;https://ideav.ru/knowledge-base/21-catalog-matching.html;статья КБ;дополнительная;настройка сопоставления номенклатуры;41;замер 18.08;BPM и автоматизация бизнес-процессов;не размечено;не внедрено;3
Сопоставление каталогов без Elasticsearch;https://ideav.ru/knowledge-base/21-catalog-matching.html;статья КБ;дополнительная;нормализация справочника номенклатуры;39;замер 18.08;Внутренние учетные системы для бизнеса;не размечено;не внедрено;3
Сопоставление каталогов без Elasticsearch;https://ideav.ru/knowledge-base/21-catalog-matching.html;статья КБ;дополнительная;сравнение прайс листов;31;замер 18.08;Автоматизация рутинных операций и отчетов;не размечено;не внедрено;3
Сопоставление каталогов без Elasticsearch;https://ideav.ru/knowledge-base/21-catalog-matching.html;статья КБ;дополнительная;словарь сопоставления номенклатуры;31;замер 18.08;Внутренние учетные системы для бизнеса;не размечено;не внедрено;3
Информационная система на Интеграме;https://ideav.ru/knowledge-base/22-information-system-constructor.html;статья КБ;основная;создание информационной системы это;1318;ядро (не проверено);Информационные системы и цифровая трансформация;учебное;не внедрено;1
Информационная система на Интеграме;https://ideav.ru/knowledge-base/22-information-system-constructor.html;статья КБ;дополнительная;информационная система и внедрение;3718;ядро (не проверено);Информационные системы и цифровая трансформация;не размечено;не внедрено;2
Информационная система на Интеграме;https://ideav.ru/knowledge-base/22-information-system-constructor.html;статья КБ;дополнительная;проектирование информационной системы ис;170;ядро (не проверено);Информационные системы и цифровая трансформация;не размечено;не внедрено;3
Информационная система на Интеграме;https://ideav.ru/knowledge-base/22-information-system-constructor.html;статья КБ;дополнительная;что такое разработка информационной системы;150;ядро (не проверено);Информационные системы и цифровая трансформация;не размечено;не внедрено;3
Информационная система на Интеграме;https://ideav.ru/knowledge-base/22-information-system-constructor.html;статья КБ;дополнительная;проектирование информационной системы включает;123;ядро (не проверено);Информационные системы и цифровая трансформация;не размечено;не внедрено;3
Информационная система на Интеграме;https://ideav.ru/knowledge-base/22-information-system-constructor.html;статья КБ;дополнительная;разработка и создание информационной системы предприятия;67;ядро (не проверено);Информационные системы и цифровая трансформация;не размечено;не внедрено;3
Информационная система на Интеграме;https://ideav.ru/knowledge-base/22-information-system-constructor.html;статья КБ;дополнительная;информационная система и конструкторы;54;ядро (не проверено);Информационные системы и цифровая трансформация;не размечено;не внедрено;3
Информационная система на Интеграме;https://ideav.ru/knowledge-base/22-information-system-constructor.html;статья КБ;дополнительная;конструктор баз данных no-code;9;ядро (не проверено);Информационные системы и цифровая трансформация;не размечено;частично;3
Информационная система на Интеграме;https://ideav.ru/knowledge-base/22-information-system-constructor.html;статья КБ;дополнительная;конструктор баз данных без кода;7;ядро (не проверено);Информационные системы и цифровая трансформация;не размечено;не внедрено;3
Информационная система на Интеграме;https://ideav.ru/knowledge-base/22-information-system-constructor.html;статья КБ;дополнительная;создание веб приложений без кода;8;ядро (не проверено);Преодоление технических лимитов;не размечено;не внедрено;3
Информационная система на Интеграме;https://ideav.ru/knowledge-base/22-information-system-constructor.html;статья КБ;дополнительная;создание и развитие информационной системы;1417;ядро (расходится с замером);Информационные системы и цифровая трансформация;не размечено;не внедрено;2
Информационная система на Интеграме;https://ideav.ru/knowledge-base/22-information-system-constructor.html;статья КБ;дополнительная;создание и использование информационных систем;918;ядро (не проверено);Информационные системы и цифровая трансформация;не размечено;не внедрено;2
Информационная система на Интеграме;https://ideav.ru/knowledge-base/22-information-system-constructor.html;статья КБ;дополнительная;создание и внедрение информационных систем;424;ядро (не проверено);Информационные системы и цифровая трансформация;не размечено;не внедрено;2
Информационная система на Интеграме;https://ideav.ru/knowledge-base/22-information-system-constructor.html;статья КБ;дополнительная;внедрение информационной системы это;410;ядро (не проверено);Информационные системы и цифровая трансформация;не размечено;не внедрено;2
Информационная система на Интеграме;https://ideav.ru/knowledge-base/22-information-system-constructor.html;статья КБ;дополнительная;информационные системы и этапы развития;396;ядро (не проверено);Информационные системы и цифровая трансформация;не размечено;не внедрено;2
Безопасность и отказоустойчивость;https://ideav.ru/knowledge-base/23-security-fault-tolerance.html;статья КБ;основная;информационная система и защита данных;1928;ядро (не проверено);Информационные системы и цифровая трансформация;учебное;не внедрено;1
Безопасность и отказоустойчивость;https://ideav.ru/knowledge-base/23-security-fault-tolerance.html;статья КБ;дополнительная;информационная система и доступность;549;ядро (не проверено);Информационные системы и цифровая трансформация;не размечено;не внедрено;2
Безопасность и отказоустойчивость;https://ideav.ru/knowledge-base/23-security-fault-tolerance.html;статья КБ;дополнительная;информационная система и кибербезопасность;379;ядро (не проверено);Информационные системы и цифровая трансформация;не размечено;не внедрено;2
Безопасность и отказоустойчивость;https://ideav.ru/knowledge-base/23-security-fault-tolerance.html;статья КБ;дополнительная;информационная система и надежность;347;ядро (не проверено);Информационные системы и цифровая трансформация;не размечено;не внедрено;2
Безопасность и отказоустойчивость;https://ideav.ru/knowledge-base/23-security-fault-tolerance.html;статья КБ;дополнительная;учет информационных систем персональных данных;365;ядро (расходится с замером);Автоматизация рутинных операций и отчетов;не размечено;не внедрено;2
Безопасность и отказоустойчивость;https://ideav.ru/knowledge-base/23-security-fault-tolerance.html;статья КБ;дополнительная;информационная система и резервное копирование;126;ядро (не проверено);Информационные системы и цифровая трансформация;не размечено;частично;3
Безопасность и отказоустойчивость;https://ideav.ru/knowledge-base/23-security-fault-tolerance.html;статья КБ;дополнительная;безопасность и надежность информационной системы;90;ядро (не проверено);Информационные системы и цифровая трансформация;не размечено;не внедрено;3
Безопасность и отказоустойчивость;https://ideav.ru/knowledge-base/23-security-fault-tolerance.html;статья КБ;дополнительная;надежность и качество информационных систем;45;ядро (не проверено);Информационные системы и цифровая трансформация;не размечено;не внедрено;3
Безопасность и отказоустойчивость;https://ideav.ru/knowledge-base/23-security-fault-tolerance.html;статья КБ;дополнительная;информационная система и отказоустойчивость;29;ядро (не проверено);Информационные системы и цифровая трансформация;не размечено;не внедрено;3
Безопасность и отказоустойчивость;https://ideav.ru/knowledge-base/23-security-fault-tolerance.html;статья КБ;дополнительная;защита информации и информационных систем;5203;ядро (не проверено);Информационные системы и цифровая трансформация;не размечено;не внедрено;2
Безопасность и отказоустойчивость;https://ideav.ru/knowledge-base/23-security-fault-tolerance.html;статья КБ;дополнительная;защита данных в информационной системе;2181;замер 18.08;;не размечено;не внедрено;2
Безопасность и отказоустойчивость;https://ideav.ru/knowledge-base/23-security-fault-tolerance.html;статья КБ;дополнительная;система защиты данных;6772;замер 18.08;;не размечено;не внедрено;2
Безопасность и отказоустойчивость;https://ideav.ru/knowledge-base/23-security-fault-tolerance.html;статья КБ;дополнительная;требования к защите данных;4191;замер 18.08;;не размечено;частично;2
Безопасность и отказоустойчивость;https://ideav.ru/knowledge-base/23-security-fault-tolerance.html;статья КБ;дополнительная;защита данных организации;3045;замер 18.08;;не размечено;не внедрено;2
Безопасность и отказоустойчивость;https://ideav.ru/knowledge-base/23-security-fault-tolerance.html;статья КБ;дополнительная;защита данных шифрование;1469;замер 18.08;;не размечено;частично;2
Безопасность и отказоустойчивость;https://ideav.ru/knowledge-base/23-security-fault-tolerance.html;статья КБ;дополнительная;уровни защиты данных;1689;замер 18.08;;не размечено;частично;2
Безопасность и отказоустойчивость;https://ideav.ru/knowledge-base/23-security-fault-tolerance.html;статья КБ;дополнительная;защита базы данных;1581;замер 18.08;;не размечено;не внедрено;2
Безопасность и отказоустойчивость;https://ideav.ru/knowledge-base/23-security-fault-tolerance.html;статья КБ;дополнительная;отказоустойчивость;2317;замер 18.08;;не размечено;было изначально;2
Безопасность и отказоустойчивость;https://ideav.ru/knowledge-base/23-security-fault-tolerance.html;статья КБ;дополнительная;обеспечение отказоустойчивости;223;замер 18.08;;не размечено;не внедрено;3
Безопасность и отказоустойчивость;https://ideav.ru/knowledge-base/23-security-fault-tolerance.html;статья КБ;дополнительная;уровень отказоустойчивости;153;замер 18.08;;не размечено;не внедрено;3
Безопасность и отказоустойчивость;https://ideav.ru/knowledge-base/23-security-fault-tolerance.html;статья КБ;дополнительная;отказоустойчивость данных;131;замер 18.08;;не размечено;не внедрено;3
Безопасность и отказоустойчивость;https://ideav.ru/knowledge-base/23-security-fault-tolerance.html;статья КБ;дополнительная;катастрофоустойчивость и отказоустойчивость;22;замер 18.08;;не размечено;не внедрено;3
Pure Business Design;https://ideav.ru/knowledge-base/24-pure-business-design.html;статья КБ;основная;информационная система и без кода;27;ядро (не проверено);Информационные системы и цифровая трансформация;учебное;не внедрено;1
Pure Business Design;https://ideav.ru/knowledge-base/24-pure-business-design.html;статья КБ;дополнительная;no code платформы;117;ядро (не проверено);Преодоление технических лимитов и масштабирование;не размечено;не внедрено;3
Pure Business Design;https://ideav.ru/knowledge-base/24-pure-business-design.html;статья КБ;дополнительная;платформы быстрой разработки приложений;49;ядро (расходится с замером);Информационные системы и цифровая трансформация;не размечено;не внедрено;3
Pure Business Design;https://ideav.ru/knowledge-base/24-pure-business-design.html;статья КБ;дополнительная;как создать приложение без программирования;44;ядро (расходится с замером);Преодоление технических лимитов и масштабирование;не размечено;не внедрено;3
Pure Business Design;https://ideav.ru/knowledge-base/24-pure-business-design.html;статья КБ;дополнительная;автоматизация без программирования;52;ядро (расходится с замером);BPM и автоматизация бизнес-процессов;не размечено;не внедрено;3
Pure Business Design;https://ideav.ru/knowledge-base/24-pure-business-design.html;статья КБ;дополнительная;конструктор приложений без кода;59;замер 18.08;;не размечено;не внедрено;3
Pure Business Design;https://ideav.ru/knowledge-base/24-pure-business-design.html;статья КБ;дополнительная;генерация интерфейса приложения;31;замер 18.08;;не размечено;не внедрено;3
Pure Business Design;https://ideav.ru/knowledge-base/24-pure-business-design.html;статья КБ;дополнительная;ии генерация интерфейса;25;замер 18.08;;не размечено;не внедрено;3
Умный импорт из Google Sheets;https://ideav.ru/knowledge-base/17-smart-google-import.html;статья КБ;основная;автоматизация загрузки данных;37;ядро (расходится с замером);BPM и автоматизация бизнес-процессов;покупка;не внедрено;1
Умный импорт из Google Sheets;https://ideav.ru/knowledge-base/17-smart-google-import.html;статья КБ;дополнительная;загрузка данных из excel;393;замер 18.08;Автоматизация рутинных операций и отчетов;учебное;не внедрено;2
Умный импорт из Google Sheets;https://ideav.ru/knowledge-base/17-smart-google-import.html;статья КБ;дополнительная;импорт из excel;699;замер 18.08;Автоматизация рутинных операций и отчетов;не размечено;не внедрено;2
